nontropical_binomial,nontropical_n,nontropical_lat,nontropical_cv_logmass,tropical_binomial,tropical_n,tropical_lat,tropical_cv_logmass,dist_phy,dlat,dist_slc,tropical_Diet.Inv,tropical_Diet.Vend,tropical_Diet.Vect,tropical_Diet.Vfish,tropical_Diet.Vunk,tropical_Diet.Scav,tropical_Diet.Fruit,tropical_Diet.Nect,tropical_Diet.Seed,tropical_Diet.PlantO,tropical_Diet.5Cat,tropical_ForStrat.watbelowsurf,tropical_ForStrat.wataroundsurf,tropical_ForStrat.ground,tropical_ForStrat.understory,tropical_ForStrat.midhigh,tropical_ForStrat.canopy,tropical_ForStrat.aerial,tropical_PelagicSpecialist,tropical_Nocturnal,tropical_BodyMass.Value,tropical_female_maturity_d,tropical_litter_or_clutch_size_n,tropical_litters_or_clutches_per_y,tropical_adult_body_mass_g,tropical_maximum_longevity_y,tropical_gestation_d,tropical_weaning_d,tropical_birth_or_hatching_weight_g,tropical_weaning_weight_g,tropical_egg_mass_g,tropical_incubation_d,tropical_fledging_age_d,tropical_longevity_y,tropical_male_maturity_d,tropical_inter_litter_or_interbirth_interval_y,tropical_female_body_mass_g,tropical_male_body_mass_g,tropical_no_sex_body_mass_g,tropical_egg_width_mm,tropical_egg_length_mm,tropical_fledging_mass_g,tropical_adult_svl_cm,tropical_male_svl_cm,tropical_female_svl_cm,tropical_birth_or_hatching_svl_cm,tropical_female_svl_at_maturity_cm,tropical_female_body_mass_at_maturity_g,tropical_no_sex_svl_cm,tropical_no_sex_maturity_d,tropical_spatial_cv_temp,tropical_spatial_cv_precip,tropical_seasonal_var_temp,tropical_seasonal_var_precip,tropical_interannual_var_temp,tropical_interannual_var_precip,tropical_spatial_spread,tropical_area,tropical_migrant_status,tropical_range_size,tropical_total_richness,tropical_congener_richness,tropical_nsubpop,tropical_elevation_cv,nontropical_Diet.Inv,nontropical_Diet.Vend,nontropical_Diet.Vect,nontropical_Diet.Vfish,nontropical_Diet.Vunk,nontropical_Diet.Scav,nontropical_Diet.Fruit,nontropical_Diet.Nect,nontropical_Diet.Seed,nontropical_Diet.PlantO,nontropical_Diet.5Cat,nontropical_ForStrat.watbelowsurf,nontropical_ForStrat.wataroundsurf,nontropical_ForStrat.ground,nontropical_ForStrat.understory,nontropical_ForStrat.midhigh,nontropical_ForStrat.canopy,nontropical_ForStrat.aerial,nontropical_PelagicSpecialist,nontropical_Nocturnal,nontropical_BodyMass.Value,nontropical_female_maturity_d,nontropical_litter_or_clutch_size_n,nontropical_litters_or_clutches_per_y,nontropical_adult_body_mass_g,nontropical_maximum_longevity_y,nontropical_gestation_d,nontropical_weaning_d,nontropical_birth_or_hatching_weight_g,nontropical_weaning_weight_g,nontropical_egg_mass_g,nontropical_incubation_d,nontropical_fledging_age_d,nontropical_longevity_y,nontropical_male_maturity_d,nontropical_inter_litter_or_interbirth_interval_y,nontropical_female_body_mass_g,nontropical_male_body_mass_g,nontropical_no_sex_body_mass_g,nontropical_egg_width_mm,nontropical_egg_length_mm,nontropical_fledging_mass_g,nontropical_adult_svl_cm,nontropical_male_svl_cm,nontropical_female_svl_cm,nontropical_birth_or_hatching_svl_cm,nontropical_female_svl_at_maturity_cm,nontropical_female_body_mass_at_maturity_g,nontropical_no_sex_svl_cm,nontropical_no_sex_maturity_d,nontropical_spatial_cv_temp,nontropical_spatial_cv_precip,nontropical_seasonal_var_temp,nontropical_seasonal_var_precip,nontropical_interannual_var_temp,nontropical_interannual_var_precip,nontropical_spatial_spread,nontropical_area,nontropical_migrant_status,nontropical_range_size,nontropical_total_richness,nontropical_congener_richness,nontropical_nsubpop,nontropical_elevation_cv,clutch_size_diff,absolute_clutch_size_diff
Acanthiza_pusilla,18,32.8,0.127910794,Acanthiza_katherina,23,16.59366367,0.117262988,4.647439878,13.78840318,1562.645777,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,20,50,30,0,0,0,7.2,NA,2.25,NA,6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,6.8,7.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003717157,0.203981541,264.3876761,85.57262852,4.688997144,551.3091955,171526.716,44475.2307,none,4.958743046,325.4347826,2.130434783,13,0.243274538,70,0,0,0,0,0,10,10,10,0,Invertebrate,0,0,40,40,20,0,0,0,0,7.62,NA,2.7,NA,7.6,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,7.5,8.6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009042001,0.284365293,364.877655,31.6376269,4.766700141,210.5440297,1494185.541,3918923.85,none,108.8095576,219.7777778,3.111111111,12,0.855617706,0.45,0.45
Aethopyga_gouldiae,23,22.1675,0.059511482,Aethopyga_christinae,12,21.84,0.048592061,33.83946416,7.216108447,1240.271724,20,0,0,0,0,0,0,30,50,0,Omnivore,0,0,0,50,50,0,0,0,0,5.2,NA,NA,NA,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002797499,0.168058192,541.1804759,79.83157412,4.976752679,363.8231799,175001.6247,839.8806462,none,2.903349189,357.1666667,3.75,3,0.744843668,50,0,0,0,0,0,0,50,0,0,Omnivore,0,0,20,30,30,20,0,0,0,5,NA,NA,NA,6.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007867187,0.180179922,444.755643,72.45999215,4.79496802,212.2823694,560142.1205,734494.4374,none,323.3769757,435,3.136363636,9,0.496111638,NA,NA
Aimophila_carpalis,75,27.242512,0.031297598,Aimophila_sumichrasti,69,16.32444444,0.020500368,12.59320121,12.75109416,2142.044533,60,0,0,0,0,0,0,0,40,0,Invertebrate,0,0,100,0,0,0,0,0,0,29.43,NA,NA,NA,29.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000412967,0.026354987,153.6071347,95.83298885,4.415568674,245.1084489,6974.065021,890.6129988,none,0.54069702,276.4264706,0.044117647,10,0.486654858,20,0,0,0,0,0,0,0,80,0,PlantSeed,0,0,60,20,20,0,0,0,0,15.3,NA,4,NA,15.3,NA,NA,NA,NA,NA,1.95,NA,NA,NA,NA,NA,15,15,15.3,NA,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,0.004421275,0.222491434,558.2607731,106.0265493,5.582860222,134.5534083,277575.9905,87310.89355,none,16.32638059,236.1866667,0.08,18,0.654587567,NA,NA
Aimophila_ruficeps,276,31.816667,0.069263275,Aimophila_notosticta,10,16.81817121,0.015545892,6.529667942,10.62325649,1361.562504,60,0,0,0,0,0,0,0,40,0,Invertebrate,0,0,100,0,0,0,0,0,0,27.1,NA,NA,NA,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001379512,0.181327179,134.8539207,87.92471542,4.650335169,224.9443863,42758.24804,1282.073259,none,2.544167477,241.5,1.3,5,0.017222694,50,0,0,0,0,0,0,0,50,0,Omnivore,0,0,60,20,20,0,0,0,0,18.69,365,3.725,2,18.75,5.083333333,NA,NA,NA,NA,2.72,12,NA,3.2,365,NA,17.925,19.3,19.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008481696,0.511388541,522.8733404,83.2569024,7.176049381,139.1682323,1162010.139,4566839.89,none,110.3757153,213.507874,0.122047244,116,0.620575606,NA,NA
Amazona_finschi,22,23.46889,0.026145486,Amazona_viridigenalis,19,34.1033058,0.034543949,5.080713386,1.887843096,768.500508,0,0,0,0,0,0,30,0,30,40,PlantSeed,0,0,20,20,40,20,0,0,0,316,NA,3.45,NA,319,NA,NA,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,NA,317.5,NA,NA,287,NA,NA,NA,NA,NA,NA,NA,NA,0.007757659,0.734552791,473.4865759,95.09535262,6.262451396,167.9860566,726460.8159,365403.1788,none,0.68791479,239.5882353,0.117647059,13,0.427857104,0,0,0,0,0,0,50,0,50,0,Omnivore,0,0,0,50,50,0,0,0,0,302,NA,2,NA,302,25.8,NA,NA,NA,NA,NA,NA,NA,25.8,NA,NA,NA,NA,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009843239,0.336588635,319.5639313,107.5493345,5.673860995,165.4215108,672464.6056,832530.3428,none,9.726479034,286.3333333,0.866666667,9,1.446880906,-1.45,1.45
Anas_discors,172,43.2248,0.035015303,Anas_cyanoptera,230,34.9,0.030750677,0.295100127,49.05208146,5722.533606,20,0,0,0,0,0,0,0,30,50,PlantSeed,0,100,0,0,0,0,0,0,0,377.45,364.234,10,1.25,383,12.917,NA,NA,18.2,NA,31.5,23,49,12.9,365,NA,365.25,395.5,370.5,NA,NA,NA,41.5,NA,NA,NA,NA,NA,NA,NA,0.019548128,0.743264437,506.8702381,65.29601564,6.568816281,114.2157587,4656732.119,21502244.71,partial,679.4822078,176.1952381,2.195238095,95,1.05249646,10,0,0,0,0,0,0,0,30,60,PlantSeed,0,100,0,0,0,0,0,0,0,359.44,301.734,10,1,398.5,23.25,NA,NA,18.3,NA,28.1,24.1,41.25,22.3,240,NA,395,402,396,NA,NA,306.5,38,NA,NA,NA,NA,NA,NA,NA,0.019197393,0.616792694,891.0452595,39.25673562,9.950302683,111.5622965,2172470.78,25645522.65,partial,1039.935814,209.013245,3.298013245,93,1.181981109,0,0
Buteo_buteo,49,37.5667,0.034255236,Buteo_oreophilus,13,1,0.021987141,0.635922077,49.62834855,6224.638729,10,60,30,0,0,0,0,0,0,0,VertFishScav,0,0,50,30,20,0,0,0,0,699.99,NA,2,NA,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,700,NA,NA,NA,44.5,NA,NA,NA,NA,NA,NA,NA,0.003968522,0.171230713,75.46951529,43.64267848,4.059034219,181.2676474,317789.2942,39596.23866,none,55.17493395,565.1538462,2,4,0.653398902,0,90,10,0,0,0,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,759.1,910.202,3,1,878.25,28.8,NA,NA,36,NA,58.5,35,36.75,25.33666667,730,NA,945.75,781,759,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,0.010677053,0.183458215,861.0752272,81.49817704,7.02731336,232.5645709,3569665.313,42172690.87,partial,1654.401831,205.5581395,1.906976744,36,1.25672598,1,1
Calocitta_colliei,26,21.53944,0.038794118,Calocitta_formosa,77,16.83916778,0.016895947,6.364233276,8.340063118,1618.847549,20,20,20,0,0,0,20,10,10,0,Omnivore,0,0,20,40,40,0,0,0,0,210,NA,3.75,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.75,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,0.006119337,0.302601285,146.2714422,87.86080529,4.02235691,207.081662,657854.9388,553351.0168,none,24.73902611,306.8529412,0,35,0.795719023,50,0,0,0,0,0,50,0,0,0,Omnivore,0,0,0,30,40,30,0,0,0,234,NA,3.75,NA,223.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,0.008668542,0.22182886,279.9717993,115.9442295,5.12395461,141.29777,339909.7737,50650.63283,none,13.87604419,317.2105263,0,12,0.97806552,0,
Catharus_guttatus,1422,39.346825,0.056168856,Catharus_occidentalis,63,18,0.036108645,7.27684925,28.31023518,3174.597994,50,0,0,0,0,0,50,0,0,0,Omnivore,0,0,60,0,20,20,0,0,0,26.2,NA,2.4,NA,24.985,NA,NA,NA,NA,NA,3.5,15,15,NA,NA,NA,NA,26.2,23.77,NA,NA,NA,16.75,NA,NA,NA,NA,NA,NA,NA,0.009962956,0.28638309,159.145773,84.40724175,4.223339332,225.3164536,321996.2451,260881.18,none,36.33109738,287.7818182,2.6,31,0.398948274,80,0,0,0,0,0,20,0,0,0,Invertebrate,0,0,50,50,0,0,0,0,0,30.1,364.234,3.66,2,30.55,10.83333333,NA,NA,4.12,NA,3.3,12.5,12.5,8.7,365,NA,NA,NA,31,NA,NA,24.8,17,NA,NA,NA,NA,NA,NA,NA,0.01785512,0.677126961,689.3837523,51.97544549,7.746997422,160.9297686,2224894.968,54427021.55,partial,1095.429232,198.8784978,1.00736377,706,0.840567712,1.26,1.26
Charadrius_alexandrinus,122,35.32762,0.082865357,Charadrius_marginatus,12,32.8333,0.061672354,7.82102858,27.48322412,7287.173442,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,20,80,0,0,0,0,0,0,48.3,427.601,2.905,1.5,45.16666667,19,NA,NA,6.25,NA,8.95,26,29,15,331,NA,46.6,46.1,42.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015159498,0.565496058,253.778478,65.96933556,4.066077511,138.2062346,2066133.413,1093346.13,none,372.3099998,237.25,3.833333333,6,0.512121924,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,40,60,0,0,0,0,0,0,42.3,427.601,3,1.5,42.3,19,NA,NA,6.25,NA,8.9,25,29,15,331,NA,46.1,44,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019606193,0.865960363,621.9951515,85.07553567,7.027130176,132.5046943,8860562.666,123902931.9,partial,1473.350685,151.8083333,2.041666667,52,1.449980713,0.095,0.095
Colinus_virginianus,343,40.8424,0.046317782,Colinus_cristatus,69,3.3333333,0.025042979,2.486167258,28.35880755,3952.76586,10,0,0,0,0,0,0,0,90,0,PlantSeed,0,0,100,0,0,0,0,0,0,134.45,NA,11.65,NA,136.5,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,131,138,NA,NA,NA,NA,20.25,NA,NA,NA,NA,NA,NA,NA,0.006266375,0.205072336,51.89281102,41.17683541,4.742419965,254.3798765,895900.4454,2623844.205,none,152.5979877,303.7647059,0.088235294,17,1.079503327,0,0,0,0,0,0,0,0,70,30,PlantSeed,0,0,100,0,0,0,0,0,0,171.89,364.234,13,1.5,173.3333333,6.416666667,NA,NA,7,NA,8.9,22.75,14,6.4,365,NA,117,150,174.25,NA,NA,NA,22.5,NA,NA,NA,NA,NA,NA,NA,0.018547914,0.261657154,774.1003179,34.18689253,7.960738485,132.8533001,1304747.731,13221756.62,none,431.0383865,232.2866242,0,165,0.903815198,1.35,1.35
Colius_colius,18,25.83,0.027749672,Colius_striatus,164,1.78,0.040386331,43.08197938,22.59522377,2661.232551,0,0,0,0,0,0,70,10,0,20,FruiNect,0,0,20,20,50,10,0,0,0,51.1,363.468,3.3,NA,52.5,NA,NA,NA,NA,NA,3.2,12.5,17.5,NA,NA,NA,55.5,54,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017059311,0.287341697,142.7829879,60.61358789,4.487651507,203.3649614,1329672.125,36727516.8,none,669.8216855,426.3719512,0.292682927,73,0.681769616,0,0,0,0,0,0,70,10,0,20,FruiNect,0,0,0,30,70,0,0,0,0,41.4,363.468,3.3,NA,41.45,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,45,NA,41.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008815891,0.853745715,413.4830322,99.34722095,5.92927689,89.58399879,639862.7097,454070.5923,none,146.3254524,214.6111111,0.222222222,8,0.280408934,0,0
Coryphospingus_cucullatus,50,20.66666667,0.034032417,Coryphospingus_pileatus,24,3.3333333,0.043851439,7.43739938,12.5611595,1906.385451,50,0,0,0,0,0,0,0,50,0,Omnivore,0,0,0,60,40,0,0,0,0,15.3,NA,NA,NA,15.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001777657,0.234037188,45.05735946,40.48562829,4.741354048,192.5903393,321802.0095,45866.88992,none,229.2182295,206.1666667,0,5,0.471474414,0,0,0,0,0,0,50,0,50,0,Omnivore,0,0,0,60,40,0,0,0,0,14.28,NA,NA,NA,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007726569,0.3258641,248.7373209,38.91036162,4.783987877,206.970928,1488304.124,1442572.77,partial,358.4635818,349.122449,0,25,1.07977234,NA,NA
Cossypha_caffra,89,2.63,0.040581,Cossypha_archeri,26,1,0.034201298,11.95064896,26.70650367,2994.287,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,50,50,0,0,0,0,0,22.8,NA,2,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,22.5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015111923,0.10283758,59.44647275,36.48942727,4.07979239,177.256026,26206.18452,0,none,4.887960971,612.3076923,3.846153846,2,NA,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,80,0,0,20,0,0,0,28.5,NA,2.4,NA,28.475,NA,NA,NA,NA,NA,3.34,NA,NA,NA,NA,NA,25.5,29.45,29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014273706,0.38674553,199.0602384,69.54783754,4.799949107,197.5828488,1782331.785,1783129.115,partial,144.7515153,416.2823529,1.376470588,31,0.499502286,0.4,0.4
Culicicapa_ceylonensis,53,25.48465,0.063257955,Culicicapa_helianthea,12,10.0204835,0.052840464,9.96096056,7.661285627,2270.408638,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,70,30,0,0,0,8.4,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003566671,0.149426846,69.26075821,40.00911293,3.03285265,534.540741,7267517.605,3289343.411,none,31.09852956,205.9166667,0,5,0.545765142,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,30,30,40,0,0,0,7.7,NA,3.5,NA,7.8,NA,NA,NA,NA,NA,1.16,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023501008,0.46406466,524.1790326,70.34013041,4.810545746,380.2664179,1024669.951,4184080.075,partial,405.1262874,344,0,18,0.56246966,NA,NA
Cyanocorax_beecheii,10,22.3955,0.023440854,Cyanocorax_sanblasianus,24,19.62277778,0.014452488,4.054156004,6.348208758,830.6050664,50,0,10,0,0,0,40,0,0,0,Omnivore,0,0,30,20,30,20,0,0,0,109,NA,4,NA,108.25,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,107.5,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,0.00411295,0.144969197,181.0791811,91.45030685,4.225855044,175.1287152,828032.7721,426646.6389,none,5.796977977,293.8636364,2.045454545,13,1.039140008,30,10,10,0,0,0,30,0,20,0,Omnivore,0,0,40,30,30,0,0,0,0,193,NA,5,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,0.005748004,0.25839054,313.6162482,110.7561154,4.993560129,132.2301449,373814.2854,17782.34359,none,7.705207859,303.6666667,1,6,0.887193144,1,1
Dicrurus_macrocercus,23,24.6,0.031881431,Dicrurus_adsimilis,43,6.083333333,0.059009165,3.765895906,21.16798105,8544.238771,70,0,0,10,0,0,0,20,0,0,Invertebrate,0,0,20,20,20,20,20,0,0,40.3,NA,2.7,2.5,42.2,NA,NA,NA,NA,NA,4.3,16,14,NA,NA,NA,46,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009587953,0.424670817,217.7923405,65.94777565,5.118047464,169.5360844,2184646.665,9437228.08,none,1227.302714,422.8536585,0.463414634,25,0.523043093,40,10,10,0,0,10,0,20,10,0,Omnivore,0,0,0,0,33,33,33,0,0,48.3,NA,3.35,NA,48.5,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,46,51,49.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011809692,0.336281537,371.9566723,89.73716965,3.978608096,413.4018318,1754703.052,3911293.391,partial,845.9336147,305.7391304,4.217391304,9,0.978562537,0.65,0.65
Diuca_diuca,30,40.05,0.042235698,Diuca_speculifera,16,14.619,0.016334024,6.21850762,23.36587477,2628.959128,0,0,0,0,0,0,0,0,100,0,PlantSeed,0,0,80,20,0,0,0,0,0,38.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006177569,0.39328638,139.5566717,67.92722066,5.08215758,222.9081706,309847.8473,143509.3546,none,17.4624044,198.3333333,0,8,0.079168716,0,0,0,0,0,0,0,0,100,0,PlantSeed,0,0,80,20,0,0,0,0,0,36.8,NA,NA,NA,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012493977,0.5388665,446.0873494,46.19810791,4.747561423,149.4392054,2394956.55,1957248.58,partial,160.6151546,94.66666667,0,13,1.123762638,NA,NA
Elaenia_albiceps,64,14.231,0.061791871,Elaenia_frantzii,36,10.16667,0.045844109,4.310399422,21.84764078,4262.32914,30,0,0,0,0,0,70,0,0,0,FruiNect,0,0,0,20,80,0,0,0,0,19.6,NA,2,NA,19.05,NA,NA,NA,NA,NA,NA,15,15.5,NA,NA,NA,NA,NA,19.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013487449,0.395189798,61.8150132,61.41867553,4.348568082,341.6024,558526.3702,417876.6469,none,21.33918731,264.7222222,0.888888889,15,0.408405966,50,0,0,0,0,0,50,0,0,0,Omnivore,0,0,0,0,100,0,0,0,0,15.5,NA,2.4,NA,15.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022403995,0.646505958,184.6380231,67.47028668,4.894756838,145.4790118,2060431.587,6385963.694,partial,219.1352857,194.5254237,1.152542373,25,0.617606229,0.4,0.4
