nontropical_binomial,nontropical_n,nontropical_lat,nontropical_cv_logmass,tropical_binomial,tropical_n,tropical_lat,tropical_cv_logmass,dist_phy,dlat,dist_slc,tropical_Diet.Inv,tropical_Diet.Vend,tropical_Diet.Vect,tropical_Diet.Vfish,tropical_Diet.Vunk,tropical_Diet.Scav,tropical_Diet.Fruit,tropical_Diet.Nect,tropical_Diet.Seed,tropical_Diet.PlantO,tropical_Diet.5Cat,tropical_ForStrat.watbelowsurf,tropical_ForStrat.wataroundsurf,tropical_ForStrat.ground,tropical_ForStrat.understory,tropical_ForStrat.midhigh,tropical_ForStrat.canopy,tropical_ForStrat.aerial,tropical_PelagicSpecialist,tropical_Nocturnal,tropical_BodyMass.Value,tropical_female_maturity_d,tropical_litter_or_clutch_size_n,tropical_litters_or_clutches_per_y,tropical_adult_body_mass_g,tropical_maximum_longevity_y,tropical_gestation_d,tropical_weaning_d,tropical_birth_or_hatching_weight_g,tropical_weaning_weight_g,tropical_egg_mass_g,tropical_incubation_d,tropical_fledging_age_d,tropical_longevity_y,tropical_male_maturity_d,tropical_inter_litter_or_interbirth_interval_y,tropical_female_body_mass_g,tropical_male_body_mass_g,tropical_no_sex_body_mass_g,tropical_egg_width_mm,tropical_egg_length_mm,tropical_fledging_mass_g,tropical_adult_svl_cm,tropical_male_svl_cm,tropical_female_svl_cm,tropical_birth_or_hatching_svl_cm,tropical_female_svl_at_maturity_cm,tropical_female_body_mass_at_maturity_g,tropical_no_sex_svl_cm,tropical_no_sex_maturity_d,tropical_spatial_cv_temp,tropical_spatial_cv_precip,tropical_seasonal_var_temp,tropical_seasonal_var_precip,tropical_interannual_var_temp,tropical_interannual_var_precip,tropical_spatial_spread,tropical_area,tropical_migrant_status,tropical_range_size,tropical_total_richness,tropical_congener_richness,tropical_nsubpop,tropical_elevation_cv,nontropical_Diet.Inv,nontropical_Diet.Vend,nontropical_Diet.Vect,nontropical_Diet.Vfish,nontropical_Diet.Vunk,nontropical_Diet.Scav,nontropical_Diet.Fruit,nontropical_Diet.Nect,nontropical_Diet.Seed,nontropical_Diet.PlantO,nontropical_Diet.5Cat,nontropical_ForStrat.watbelowsurf,nontropical_ForStrat.wataroundsurf,nontropical_ForStrat.ground,nontropical_ForStrat.understory,nontropical_ForStrat.midhigh,nontropical_ForStrat.canopy,nontropical_ForStrat.aerial,nontropical_PelagicSpecialist,nontropical_Nocturnal,nontropical_BodyMass.Value,nontropical_female_maturity_d,nontropical_litter_or_clutch_size_n,nontropical_litters_or_clutches_per_y,nontropical_adult_body_mass_g,nontropical_maximum_longevity_y,nontropical_gestation_d,nontropical_weaning_d,nontropical_birth_or_hatching_weight_g,nontropical_weaning_weight_g,nontropical_egg_mass_g,nontropical_incubation_d,nontropical_fledging_age_d,nontropical_longevity_y,nontropical_male_maturity_d,nontropical_inter_litter_or_interbirth_interval_y,nontropical_female_body_mass_g,nontropical_male_body_mass_g,nontropical_no_sex_body_mass_g,nontropical_egg_width_mm,nontropical_egg_length_mm,nontropical_fledging_mass_g,nontropical_adult_svl_cm,nontropical_male_svl_cm,nontropical_female_svl_cm,nontropical_birth_or_hatching_svl_cm,nontropical_female_svl_at_maturity_cm,nontropical_female_body_mass_at_maturity_g,nontropical_no_sex_svl_cm,nontropical_no_sex_maturity_d,nontropical_spatial_cv_temp,nontropical_spatial_cv_precip,nontropical_seasonal_var_temp,nontropical_seasonal_var_precip,nontropical_interannual_var_temp,nontropical_interannual_var_precip,nontropical_spatial_spread,nontropical_area,nontropical_migrant_status,nontropical_range_size,nontropical_total_richness,nontropical_congener_richness,nontropical_nsubpop,nontropical_elevation_cv,clutch_size_diff,absolute_clutch_size_diff
Elaenia_parvirostris,39,30.5217,0.042905124,Elaenia_flavogaster,97,10.36667,0.034567966,11.90643636,20.39766529,2268.321726,50,0,0,0,0,0,50,0,0,0,Omnivore,0,0,0,20,40,30,10,0,0,24.8,NA,2,1.5,24.73333333,NA,NA,NA,NA,NA,2.79,16,17,NA,NA,NA,24.1,24.3,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006922956,0.328860093,106.0090935,45.95332725,4.266220394,305.8404236,2234748.72,11763393.14,none,862.6401951,382.8804348,1.706521739,61,1.120972034,70,0,0,0,0,0,30,0,0,0,Invertebrate,0,0,0,33,33,33,0,0,0,13.8,NA,2.4,NA,13.85,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,28.3,NA,13.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010282164,0.331135914,311.3335075,31.2742106,4.474863182,297.8691895,2608592.689,8778196.251,partial,250.9859153,353.4054054,2.513513514,18,1.385160526,0.4,0.4
Empidonax_oberholseri,507,39.38635,0.06266532,Empidonax_affinis,46,28.56806,0.035536957,1.166683213,22.26622558,2773.643136,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,20,80,0,0,0,0,11.3,NA,NA,NA,10.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,10.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005475335,0.628984403,420.939698,87.24234273,7.239191612,152.2543898,816519.2887,880526.9672,none,41.90207093,257.5641026,6.564102564,19,0.146690702,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,20,80,0,0,0,0,0,10.4,365,3.6,1,10.4,9,NA,NA,1.19,NA,NA,13.5,18,8.2,365,NA,NA,NA,10.4,NA,NA,10.1,NA,NA,NA,NA,NA,NA,NA,NA,0.013163888,0.674851776,780.2515312,54.42741247,7.8002334,136.0296016,785047.3689,5611346.106,obligate,305.029012,198.0601202,3.194388778,249,0.355582289,NA,NA
Euplectes_progne,10,0.5,0.026049138,Euplectes_psammocromius,10,9.2,0.032058337,1.989291193,18.92170563,2202.41915,50,0,0,0,0,0,0,0,50,0,Omnivore,0,0,0,0,10,90,0,0,0,35.5,NA,2,NA,35.5,NA,NA,NA,NA,NA,2.75,NA,NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009035063,0.032439216,207.8660309,90.69860535,3.985886121,272.3235947,119834.8007,0,none,2.869061628,493.9,7.4,2,0.15824988,20,0,0,0,0,0,0,0,80,0,PlantSeed,0,0,0,0,100,0,0,0,0,35.1,NA,2.45,NA,35.525,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,32,41.6,35.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005180154,0.46940874,200.3700375,57.36382167,4.547828144,211.4068468,1383037.807,26372.80131,none,62.58404782,450.3333333,3.444444444,6,0.302089832,0.45,0.45
Eurystomus_orientalis,21,16.1695,0.054540158,Eurystomus_glaucurus,22,1.1,0.038139248,11.39314127,28.89392343,9994.836968,90,0,10,0,0,0,0,0,0,0,Invertebrate,0,0,10,10,20,30,30,0,0,110,NA,2.5,NA,108.5,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,104,110.5,108.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010384654,0.526261231,120.9840272,59.51308615,4.520153208,210.2961384,1344058.753,6456456.354,partial,1146.463438,381.1363636,0.227272727,13,0.934639638,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,20,40,20,10,10,0,0,143.02,NA,3.5,NA,148.3833333,NA,NA,NA,NA,NA,15.6,20.5,24.5,NA,NA,NA,147.25,134.7,146.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014890218,0.526969221,223.0329536,39.04789273,3.813195301,396.4180128,3135946.155,13426345.06,partial,1189.408677,231.0555556,0,17,0.862360973,1,1
Geococcyx_californianus,116,33.41475,0.052680687,Geococcyx_velox,15,16.683335,0.018226287,31.02510478,12.63345644,1562.088162,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0,179.89,NA,2.4,NA,181.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.75,187.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012064014,0.305242749,156.0234522,84.29912949,4.457869649,242.3580884,748397.2541,977078.6941,none,44.26488623,304.2142857,0.071428571,14,0.781762605,30,30,20,0,0,10,10,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,376,365,4,1.5,376,9,NA,NA,14,NA,19.2,18.75,NA,3.8,365,NA,286.15,319.1,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014328928,0.635372382,652.6268755,72.90392869,7.408021696,109.7461515,1120804.868,4394827.966,none,284.3640913,222.032967,0.021978022,77,0.727687507,1.6,1.6
Gymnogyps_californianus,9,34.37853075,0.038316452,Coragyps_atratus,26,26.1,0.062930388,47.45922392,30.80117429,7049.390705,0,10,10,10,0,70,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,1881.69,2921,2,1,2080.5,25.5,NA,NA,70,NA,103,36.5,75,25.5,2920,NA,2103.75,2065,1899.75,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,0.017676261,0.483165725,540.2231571,62.78354594,6.678502504,167.5787757,2481547.174,14484901.52,none,1839.570836,240.6470588,0,14,1.561131301,0,0,0,0,0,100,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,8442.74,2185.404,1,1,8800,45,NA,NA,185.3,NA,280,56.25,192.5,45,2190,NA,8100,8800,10104,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,0.005918566,0.382405946,515.4581299,92.55448914,6.478621662,136.8860273,215557.8395,41820.34875,none,10.16305975,217.25,0,8,0.551916831,-1,1
Haematopus_bachmani,61,57,0.053701004,Haematopus_palliatus,33,24.877778,0.018391386,1.472716384,16.47112592,3352.791731,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0,601.45,1274.436,2.785,1,560,43.33333333,NA,NA,34.2,NA,46.6,26.25,30,26.5,1095,NA,616,554.5,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014607933,0.637105994,370.0093575,80.93904886,5.081655094,171.085879,2733597.398,19964158,partial,132.0919342,78.86666667,0.066666667,22,0.878222917,90,0,0,10,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0,555,1639.436,2.77,1,555,43.33333333,NA,NA,32.55,NA,46.5,26,30,16,1460,NA,548.5,542,548.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015374196,0.436531742,400.7911757,43.4166728,7.190165189,265.9008641,2908009.437,50508828.86,partial,72.45852047,85.26229508,0.573770492,31,1.006563297,-0.015,0.015
Hirundo_neoxena,12,35.3,0.0713192,Hirundo_tahitica,11,17.261,0.06765966,5.093686186,11.79534668,7502.493763,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,40,60,0,0,0,0,17.8,363.468,3.5,2.5,17.15,6.916666667,NA,NA,NA,NA,1.89,16,NA,6.916666667,NA,NA,16.5,NA,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011680488,0.189861648,149.0800536,40.45392377,3.204238347,580.9867597,8800142.422,91511062.9,none,0.102910809,117.4545455,1,10,0.938498652,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,80,20,0,0,0,0,14.7,363.468,3.5,2.5,15,6.916666667,NA,NA,NA,NA,1.89,16,NA,6.916666667,NA,NA,16.5,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006010819,0.516451387,342.4585876,38.78629994,4.285789132,147.3254623,706712.4085,394694.0769,partial,398.5335373,281.25,0,7,1.041283679,0,0
Hylocharis_xantusii,40,23.56276684,0.0953776,Hylocharis_leucotis,90,15.76761,0.18017719,9.35342044,2.179293695,829.4190976,10,0,0,0,0,0,0,90,0,0,FruiNect,0,0,0,50,40,0,10,0,0,3.39,363.468,2,2.5,3.6,NA,NA,NA,NA,NA,0.44,15,24.5,NA,NA,0.416666667,3.25,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011309847,0.406526421,171.0422158,84.53041556,4.672951237,216.5067956,900799.8892,1028364.648,none,48.73726201,271.0384615,0,43,0.36875455,10,0,0,0,0,0,0,90,0,0,FruiNect,0,0,0,40,40,20,0,0,0,3.4,NA,2,NA,3.45,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,3.4,3.5,3.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005843141,0.280782277,325.4115234,137.5156906,5.099175549,124.3584644,114357.6842,25652.12673,none,3.761562095,186.675,0,13,0.858777312,0,0
Icterus_bullockii,237,37.1131734,0.067919151,Icterus_pustulatus,205,20.6,0.041634911,3.555682098,18.4312651,2287.008324,60,0,0,0,0,0,20,10,10,0,Invertebrate,0,0,0,20,40,40,0,0,0,36.78,NA,3.5,NA,36.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006911451,0.309162551,174.3260038,102.6183712,4.130068299,183.2628256,810765.7891,1102187.369,none,47.8895312,245.0588235,4.241176471,62,0.803573813,60,10,0,0,0,0,0,30,0,0,Invertebrate,0,0,30,20,20,30,0,0,0,37.9,365,4.5,1,35.225,14,NA,NA,2,NA,3.03,13,13,8.9,365,1,33.2,34.7,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014729993,0.626761292,703.2572236,63.91569793,7.496874745,118.128842,1227703.973,5008125.15,partial,377.693043,207.0681818,1.85,159,0.683605538,1,1
Ictinia_mississippiensis,35,36.5228,0.052452749,Ictinia_plumbea,21,13.95,0.088169099,10.33305663,23.36844882,5548.517597,90,0,10,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,0,20,80,0,0,249.9,NA,1.45,NA,245.25,NA,NA,NA,NA,NA,27,NA,30,NA,NA,NA,256.5,241,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA,0.004509632,0.17500404,93.98253512,53.17785418,4.057613045,348.5047216,1306833.423,3252835.65,partial,1059.069528,356.5,0.3125,13,0.884110611,90,0,0,0,10,0,0,0,0,0,Invertebrate,0,0,10,10,10,10,60,0,0,276.03,365,2,1,281,11.2,NA,NA,17,NA,27,30.5,34,9.583333333,365,NA,311,245,305,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,0.012526024,0.45484321,855.5662258,42.54471961,8.708111473,118.3707527,802116.9732,2396221.089,obligate,80.16106204,222.7391304,0,21,0.590566305,0.55,0.55
Laniarius_ferrugineus,59,2.27,0.03273285,Laniarius_aethiopicus,30,3.25,0.038572225,0.192747848,23.08219242,2652.288773,40,20,20,0,0,0,20,0,0,0,Omnivore,0,0,40,40,0,20,0,0,0,49.44,NA,2.5,NA,49.15,NA,NA,NA,NA,NA,3.835,NA,NA,NA,NA,NA,48,56,48.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024900568,0.268735096,141.817723,77.27325742,4.387315397,216.0739373,657014.9189,600125.0414,none,595.7415562,503.5517241,0.931034483,13,0.401925782,60,10,10,0,0,0,10,0,10,0,Invertebrate,0,0,40,40,20,0,0,0,0,46.8,NA,2.25,NA,47.4,NA,NA,NA,NA,NA,3.835,NA,NA,NA,NA,NA,52.75,58,46.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01534904,0.333662811,130.0225931,73.46689972,5.00302598,225.0301777,1176083.303,2853179.997,none,65.80169964,391.9152542,1.237288136,34,0.618626079,-0.25,0.25
Lessonia_rufa,22,41.11166834,0.028966086,Lessonia_oreas,10,15.358335,0.040554631,3.525445612,23.00121444,2559.281612,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,70,30,0,0,0,0,0,13.8,NA,3.15,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,13.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004063527,0.721840571,193.5775536,80.47177277,7.025490904,137.9685928,954142.0219,269410.6389,none,72.10641952,146,0.4,6,0.07789809,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,100,0,0,0,0,0,0,13.4,NA,2.8,NA,13.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012887041,0.794254954,438.020036,46.36023874,4.913193299,166.4316007,700488.2617,777129.4771,obligate,147.0869252,126.6428571,0,12,0.711048492,-0.35,0.35
Megaceryle_alcyon,241,43.8009335,0.036964327,Megaceryle_torquata,12,9.15786,0.017536164,9.313886268,37.56150617,8223.085917,20,0,20,60,0,0,0,0,0,0,VertFishScav,90,0,10,0,0,0,0,0,0,317,NA,4,NA,317,NA,NA,NA,NA,NA,27.7,NA,35.25,NA,NA,NA,293,300,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006946282,0.223299387,115.3948582,45.50650024,3.740373182,406.0052155,2727716.278,7697151.628,partial,1411.696083,280.0909091,0.545454545,9,0.771635776,10,10,10,70,0,0,0,0,0,0,VertFishScav,40,40,10,10,0,0,0,0,0,148,365.25,6.5,1,152.1666667,NA,NA,NA,NA,NA,13.5,23.25,28,NA,334.825,1,154.3,150.8,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01726337,0.30907521,825.0122144,35.79827109,9.446998691,114.9665713,1555530.585,15445647.49,partial,1791.166204,213.2964602,0.017699115,115,1.122297353,2.5,2.5
Milvago_chimango,30,27.158335,0.02491427,Milvago_chimachima,14,8.23,0.03063971,0.331465946,25.3478983,2866.552989,20,10,20,20,0,20,10,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,315.21,NA,2,NA,323,NA,NA,NA,NA,NA,29.25,NA,NA,NA,NA,NA,332.75,304,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,0.006748609,0.187699652,194.1194305,38.10164174,5.042932705,296.034747,2684931.844,5553734.344,none,1140.316516,388.9090909,0,10,1.267729761,20,20,10,0,0,50,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,296,NA,3,NA,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,0.017231049,0.396333776,413.4748912,32.60145721,4.552968597,234.2228592,2593589.568,6887728.612,partial,393.2816499,102.6071429,0.107142857,13,1.129536347,1,1
Mimus_polyglottos,306,32.39092,0.045722254,Mimus_gilvus,56,17.28785,0.043549091,3.561157438,30.00482326,4386.53678,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,50,50,0,0,0,0,0,51.99,NA,2.9,3,55.46666667,NA,NA,NA,NA,NA,5.05,14,14,NA,NA,NA,53.5,56,56.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014725925,0.267765419,120.6309417,53.26096064,3.966363216,269.6353352,1505971.667,4217559.178,none,178.0222057,309.4230769,0,37,1.815901514,50,0,0,0,0,0,50,0,0,0,Omnivore,0,0,70,30,0,0,0,0,0,48.5,364.234,3.91,2.5,48.5,20,NA,NA,3.5,NA,4.35,12.2,12.5,20,365,NA,46.4,50.5,48.5,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,0.016374853,0.679808787,583.6637408,63.65088524,6.851957399,146.7634374,2077449.721,35117538.43,partial,1048.141219,209.7490909,0.021818182,209,0.998967216,1.01,1.01
Molothrus_ater,1831,39.5136667,0.046992392,Molothrus_bonariensis,247,18.313726,0.063297423,2.12134057,29.92370926,7365.410756,70,0,0,0,0,0,0,0,30,0,Invertebrate,0,0,100,0,0,0,0,0,0,41.49,NA,NA,NA,38.4,5,NA,NA,NA,NA,4.1,11.5,NA,5,NA,NA,34.1,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011839441,0.363308391,157.353744,37.75452487,3.489976934,292.372035,2246089.486,13052134.13,none,1151.632791,204,0.243055556,36,1.228667115,40,0,0,0,0,0,0,0,60,0,PlantSeed,0,0,80,10,10,0,0,0,0,40.26,365,4.3,1,42.55,16.91666667,NA,NA,2.22,NA,3.01,11.25,10,16.9,365,NA,37.3,47.5,42.5,NA,NA,23.6,NA,NA,NA,NA,NA,NA,NA,NA,0.018910527,0.434921773,778.827062,42.16573875,8.267435505,139.2883615,1980844.171,17173392.57,partial,1234.422067,219.2137143,0.059428571,377,0.904823341,NA,NA
Myadestes_townsendi,258,39.1547934,0.050511925,Myadestes_obscurus,14,16.21748,0.046704616,16.78087989,31.58515221,4495.850582,30,0,0,0,0,0,40,0,0,30,Omnivore,0,0,0,33,33,33,0,0,0,50.44,NA,1.75,NA,50.45,NA,NA,NA,NA,NA,3.75,NA,17,NA,NA,NA,49.9,51,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,0.014880269,0.447916391,202.4663773,78.50730213,4.346560001,231.2445882,1904267.146,4366059.204,none,0.221916393,255.8333333,0.833333333,9,0.763850634,50,0,0,0,0,0,20,0,20,10,Omnivore,0,0,0,0,60,20,20,0,0,33.2,NA,3.83,NA,33.475,NA,NA,NA,NA,NA,3.71,NA,NA,NA,NA,NA,32.6,32.4,33.75,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,0.015461656,0.609139173,762.434214,55.14038324,8.131916286,120.1077935,1223869.384,12158492.35,partial,462.1132165,206.6995885,0.004115226,185,0.405347727,2.08,2.08
Pachycephala_pectoralis,146,16.825,0.053188123,Pachycephala_melanura,11,10.6046,0.038902954,5.695997116,17.64052288,2608.444112,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,20,40,40,0,0,0,0,23.8,NA,2.45,NA,29.3875,NA,NA,NA,NA,NA,3.66,NA,NA,NA,NA,NA,29.2125,30.2375,25.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000847102,0.177410573,78.42183096,22.18768128,3.086856365,543.8308133,713730.421,1342847.956,none,44.47628937,51.09090909,0.363636364,5,0.095932603,70,0,0,0,0,0,20,0,10,0,Invertebrate,0,0,33,33,33,0,0,0,0,30.36,NA,1.95,NA,32.7,NA,NA,NA,NA,NA,3.66,NA,NA,NA,NA,NA,32.425,33.775,29.31666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011522057,0.363950377,217.5979824,57.22288332,4.061125704,507.0284937,10691039.23,85350229.02,none,187.646324,164.3216783,1.335664336,55,0.676397421,-0.5,0.5
Parula_americana,122,40.24199085,0.098862836,Parula_pitiayumi,86,21.463515,0.07596273,1.561852074,21.58801133,6360.731741,70,0,0,0,0,0,20,0,0,10,Invertebrate,0,0,0,0,0,100,0,0,0,6.82,NA,3,NA,6.9,NA,NA,NA,NA,NA,1.38,NA,NA,NA,NA,NA,6.6,7.2,6.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007445372,0.59446125,209.1765201,76.62017746,4.722640629,234.9446475,3439485.131,12537997.42,partial,715.2422729,220.36,0,33,0.881512851,70,0,0,0,0,0,10,10,10,0,Invertebrate,0,0,0,0,20,80,0,0,0,7.84,365,4.5,1,7.9,7,NA,NA,NA,NA,1.26,13,NA,5.366666667,365,NA,7.65,7.8,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024215709,0.325666998,740.2988265,26.80634974,7.992515667,156.9086548,1608468.47,14002020.94,obligate,355.7281468,213.2017544,0,77,1.179324485,1.5,1.5
Pelecanus_erythrorhynchos,41,42.2,0.0310556,Pelecanus_occidentalis,69,34.0085106,0.042184382,33.44158224,32.04929296,4164.330353,10,0,0,80,0,10,0,0,0,0,VertFishScav,100,0,0,0,0,0,0,0,0,3427.84,365,2.6,1,3174,43,NA,NA,63.5,NA,96.55,29,75.5,31.08333333,730,NA,3161,3702,3057,45.4,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013276643,0.758781559,367.0529227,86.66074116,6.06947138,219.021429,2032465.926,19712687.51,partial,157.5387131,175.7460317,0.444444444,45,0.460909189,0,0,0,100,0,0,0,0,0,0,VertFishScav,100,0,0,0,0,0,0,0,0,5608.48,1095,2,1,6129.5,54,NA,NA,110,NA,150,36,75,31.5,1095,NA,4970,6665,6397.5,57.1,87.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013510324,0.611132287,843.2391993,44.22002369,8.831646628,98.17375067,1513759.866,5852360.191,partial,150.8103913,201.0540541,0.027027027,32,0.820885012,-0.6,0.6
Phaethon_rubricauda,35,21.995556,0.069445779,Phaethon_lepturus,29,22.0026455,0.087077801,26.25883726,13.08413444,4728.42853,30,0,0,70,0,0,0,0,0,0,VertFishScav,80,20,0,0,0,0,0,1,0,328.04,NA,1,1.4,347,NA,NA,NA,30,NA,45,41,75.5,NA,NA,NA,392,NA,338.3333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012030742,0.678154432,137.3644106,29.49938138,3.403384964,386.768734,5886509.404,100282811.5,obligate,7.610571228,53.03846154,0.730769231,14,1.451803478,40,0,0,60,0,0,0,0,0,0,VertFishScav,80,20,0,0,0,0,0,1,0,671.87,1460,1,1,645,32.7,NA,NA,54,NA,71.75,44.5,91.3,23.8,274,NA,220.2,218.7,693.5,48.1,67.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011685989,0.483081852,168.5173104,39.61940904,4.225110683,286.0877727,3706180.142,29796477.97,obligate,16.84891202,48.58823529,0.705882353,15,1.5655586,0,0
Phoebastria_immutabilis,14,28.20959,0.026355232,Phoebastria_nigripes,18,48.55,0.025730581,5.865140634,21.49767149,2480.133833,20,0,0,70,0,10,0,0,0,0,VertFishScav,0,100,0,0,0,0,0,1,0,3188.41,3287.25,1,0.893103449,3195,40.7,NA,NA,182.5,NA,290.5,65,140,32.68333333,NA,NA,2990,3400,3195,70,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000321421,0.002245238,282.9042053,89.63152695,6.07007432,278.7296448,2505878.537,9287698.476,partial,10042.00228,37.5,2.6875,13,0.093040366,70,0,0,30,0,0,0,0,0,0,Invertebrate,0,100,0,0,0,0,0,1,0,3145.93,3141.075,1,0.90037594,3050,60,NA,NA,167.2,NA,279,64,165,53,3068,NA,2990,3310,2900,68.6,107.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018289792,0.527551655,284.339798,59.1527522,5.489148378,270.7861764,2800623.41,6992028.557,partial,4623.478881,96,1.545454545,11,0.375284723,0,0
Phrygilus_unicolor,70,14.0585,0.058972548,Phrygilus_plebejus,60,11.7697,0.080898198,5.55363509,7.180730288,798.4607791,0,0,0,0,0,0,0,0,100,0,PlantSeed,0,0,50,50,0,0,0,0,0,14.68,NA,NA,NA,14.675,NA,NA,NA,NA,NA,1.99,NA,NA,NA,NA,NA,12.6,NA,14.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010811992,0.673628207,101.6121131,79.33081035,6.617767423,132.0677098,555040.8748,1004464.198,none,81.76876302,145.3050847,0.93220339,23,0.152423549,0,0,0,0,0,0,0,0,100,0,PlantSeed,0,0,0,40,40,20,0,0,0,21.9,NA,NA,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006789711,0.445867497,116.8652398,76.43206126,5.241497668,223.9090438,704822.0165,2792228.876,none,124.2270351,203.7166667,0.85,20,0.112261356,NA,NA
